id	title	year	kind	quality	doi	url	notes
source:alvarez_1980	Extraterrestrial Cause for the Cretaceous-Tertiary Extinction	1980	primary geochemistry / hypothesis	high	10.1126/science.208.4448.1095	https://www.science.org/doi/10.1126/science.208.4448.1095	Foundational iridium-anomaly paper; powerful signal but not a complete mechanism by itself.
source:hildebrand_1991	Chicxulub Crater: A possible Cretaceous/Tertiary boundary impact crater on the Yucatán Peninsula, Mexico	1991	primary crater identification	high	10.1130/0091-7613(1991)019<0867:CCAPCT>2.3.CO;2	https://pubs.geoscienceworld.org/gsa/geology/article-abstract/19/9/867/205322/Chicxulub-Crater-A-possible-Cretaceous-Tertiary	Strong physical impact-structure evidence.
source:schulte_2010	The Chicxulub Asteroid Impact and Mass Extinction at the Cretaceous-Paleogene Boundary	2010	review / synthesis	very_high	10.1126/science.1177265	https://www.science.org/doi/10.1126/science.1177265	High-value review for article weighting; supports impact-primary interpretation.
source:hull_2020	On impact and volcanism across the Cretaceous-Paleogene boundary	2020	primary modeling + synthesis	high	10.1126/science.aay5055	https://www.science.org/doi/10.1126/science.aay5055	Constrains volcanogenic outgassing timing and supports impact-primary causation.
source:chiarenza_2020	Asteroid impact, not volcanism, caused the end-Cretaceous dinosaur extinction	2020	climate / habitat modeling	high	10.1073/pnas.2006087117	https://www.pnas.org/doi/10.1073/pnas.2006087117	Modeling paper; useful but model-dependent.
source:schoene_2019	U-Pb constraints on pulsed eruption of the Deccan Traps across the end-Cretaceous mass extinction	2019	geochronology	high	10.1126/science.aau2422	https://www.science.org/doi/10.1126/science.aau2422	Strong timing evidence; does not alone prove broad causality.
source:sprain_2019	The eruptive tempo of Deccan volcanism in relation to the Cretaceous-Paleogene boundary	2019	geochronology	high	10.1126/science.aav1446	https://www.science.org/doi/10.1126/science.aav1446	Strong timing evidence; supports Deccan contribution/interaction questions.
source:condamine_2021	Dinosaur biodiversity declined well before the asteroid impact, influenced by ecological and environmental pressures	2021	paleodiversity modeling	medium_high	10.1038/s41467-021-23754-0	https://www.nature.com/articles/s41467-021-23754-0	Supports pre-impact decline; explicitly sensitive to fossil-record and sampling-bias issues.
source:dean_2025	The structure of the end-Cretaceous dinosaur fossil record	2025	methodological fossil-record study	medium_high		https://www.cell.com/current-biology/fulltext/S0960-9822(25)00310-0	Recent methodological caution on the structure and detectability of the end-Cretaceous dinosaur fossil record.
source:flynn_2025	Late-surviving New Mexican dinosaurs illuminate high end-Cretaceous diversity and provinciality	2025	regional fossil / stratigraphy study	medium_high	10.1126/science.adw3282	https://www.science.org/doi/10.1126/science.adw3282	Regional latest-Cretaceous evidence; useful counterweight to global overclaims.
source:rodiouchkina_2025	Reduced contribution of sulfur to the mass extinction associated with the Chicxulub impact event	2025	impact-climate modeling	medium_high	10.1038/s41467-024-55145-6	https://www.nature.com/articles/s41467-024-55145-6	Refines sulfur/impact-winter magnitude; mechanism parameter uncertainty rather than impact rejection.
source:wikipedia_npov	Wikipedia:Neutral point of view	2026	policy	policy		https://en.wikipedia.org/wiki/Wikipedia:Neutral_point_of_view	Policy node, not scientific evidence.
source:wikipedia_verifiability	Wikipedia:Verifiability	2026	policy	policy		https://en.wikipedia.org/wiki/Wikipedia:Verifiability	Policy node, not scientific evidence.
source:wikipedia_nor	Wikipedia:No original research	2026	policy	policy		https://en.wikipedia.org/wiki/Wikipedia:No_original_research	Policy node, not scientific evidence.
source:popular_shortcut	Common public shorthand: “the meteor killed the dinosaurs”	2026	M-only public narrative	low			Kept as a warning node: useful as public summary, not direct scientific evidence.
